timestamp,item_id,item_name,current_stock,threshold,hourly_velocity,day_of_week,is_peak_hour,is_stock_out
1/1/2026 6:00,BK-01,Croissants,35,10,2,Thursday,FALSE,FALSE
1/1/2026 6:00,BK-03,Muffins,40,10,2,Thursday,FALSE,FALSE
1/1/2026 6:00,BK-04,Coffee,34,10,16,Thursday,FALSE,FALSE
1/1/2026 7:00,BK-02,Bread,24,10,5,Thursday,FALSE,FALSE
1/1/2026 7:00,BK-04,Coffee,30,10,20,Thursday,TRUE,FALSE
1/1/2026 9:00,BK-03,Muffins,23,10,2,Thursday,FALSE,FALSE
1/1/2026 10:00,BK-03,Muffins,39,10,8,Thursday,FALSE,FALSE
1/1/2026 11:00,BK-01,Croissants,22,10,12,Thursday,TRUE,FALSE
1/1/2026 11:00,BK-03,Muffins,18,10,9,Thursday,FALSE,FALSE
1/1/2026 13:00,BK-01,Croissants,23,10,4,Thursday,FALSE,FALSE
1/1/2026 13:00,BK-02,Bread,27,10,7,Thursday,FALSE,FALSE
1/1/2026 13:00,BK-03,Muffins,23,10,13,Thursday,TRUE,FALSE
1/1/2026 15:00,BK-03,Muffins,37,10,12,Thursday,TRUE,FALSE
1/1/2026 16:00,BK-02,Bread,10,10,7,Thursday,FALSE,FALSE
1/1/2026 17:00,BK-03,Muffins,25,10,14,Thursday,TRUE,FALSE
1/1/2026 17:00,BK-04,Coffee,30,10,16,Thursday,TRUE,FALSE
1/1/2026 18:00,BK-02,Bread,16,10,6,Thursday,FALSE,FALSE
1/1/2026 18:00,BK-03,Muffins,32,10,5,Thursday,FALSE,FALSE
1/1/2026 19:00,BK-02,Bread,39,10,5,Thursday,FALSE,FALSE
1/1/2026 19:00,BK-03,Muffins,8,10,4,Thursday,FALSE,FALSE
1/1/2026 20:00,BK-03,Muffins,31,10,5,Thursday,FALSE,FALSE
1/1/2026 21:00,BK-01,Croissants,29,10,4,Thursday,FALSE,FALSE
1/1/2026 21:00,BK-03,Muffins,18,10,8,Thursday,FALSE,FALSE
1/1/2026 22:00,BK-03,Muffins,32,10,7,Thursday,FALSE,FALSE
1/2/2026 6:00,BK-01,Croissants,20,10,1,Friday,FALSE,FALSE
1/2/2026 8:00,BK-02,Bread,34,10,10,Friday,TRUE,FALSE
1/2/2026 8:00,BK-03,Muffins,7,10,1,Friday,FALSE,FALSE
